id,common_name,scientific_name,type,maintenance,sunlight,drought_tolerant,salt_tolerant,thorny,edible_fruit,medicinal,hardiness_min,hardiness_max,is_perennial,attracts_birds,attracts_butterflies,_distance

2171,chocolate cosmos,['Cosmos atrosanguineus'],fleurs,moderate,full_sun,False,False,False,False,False,7.0,9.0,True,False,True,2.0615528128088303

403,glossy abelia,"[""Abelia grandiflora 'MINDUO1' SUNNY ANNIVERSARY""]",arbustes,moderate,full_sun,False,False,False,False,False,6.0,8.0,True,True,True,2.23606797749979

2380,carnation,['Dianthus (Allwoodii Alpinus Group)'],fleurs,moderate,full_sun,False,False,False,False,False,6.0,8.0,True,False,False,2.23606797749979

2900,aster,['Eurybia paludosa'],fleurs,moderate,part_shade,True,True,False,False,False,8.0,9.0,True,False,True,2.23606797749979

2138,mountain dogwood,['Cornus nuttallii'],arbres,moderate,full_shade,False,False,False,False,False,7.0,9.0,True,True,True,2.29128784747792

1612,giant lily,['Cardiocrinum giganteum'],fleurs,high,part_shade,False,False,False,False,False,7.0,9.0,True,False,False,2.29128784747792

2218,montbretia,['Crocosmia crocosmiiflora NOVA DRAGONFIRE'],herbes,moderate,full_sun,False,False,False,False,False,7.0,9.0,True,True,True,2.29128784747792

